epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16271.2,0.94817,0.5218,0.89279,0.90099,0.71786,0.83031,0.60983,1.24606,1.38144,0.98701,0.005842,0.005842,0.005842
44,16642.2,0.94472,0.51918,0.8913,0.91696,0.7035,0.82527,0.60816,1.24197,1.39209,0.98662,0.005743,0.005743,0.005743
45,17017,0.93587,0.51416,0.88931,0.90109,0.71686,0.8256,0.60854,1.24092,1.39402,0.98627,0.005644,0.005644,0.005644
46,17394.8,0.93526,0.51514,0.88915,0.89103,0.71739,0.82258,0.60518,1.24276,1.41259,0.98876,0.005545,0.005545,0.005545
47,17766.7,0.92999,0.50938,0.88818,0.8761,0.73402,0.828,0.60893,1.24393,1.40549,0.98946,0.005446,0.005446,0.005446
48,18143.6,0.92543,0.50652,0.88722,0.90903,0.70961,0.82721,0.61106,1.244,1.40962,0.98982,0.005347,0.005347,0.005347
49,18519.1,0.92068,0.50319,0.88663,0.90351,0.71236,0.82523,0.61097,1.24635,1.41118,0.99163,0.005248,0.005248,0.005248
50,18897.8,0.92015,0.50423,0.88691,0.87672,0.72626,0.82293,0.60846,1.24167,1.42324,0.99246,0.005149,0.005149,0.005149
51,19273.6,0.91012,0.49635,0.88445,0.87629,0.72923,0.8248,0.60883,1.24135,1.44129,0.99195,0.00505,0.00505,0.00505
52,19652.2,0.91064,0.49757,0.885,0.87242,0.73189,0.82488,0.60829,1.24309,1.43473,0.99362,0.004951,0.004951,0.004951
53,20028.1,0.90596,0.49275,0.88266,0.8653,0.73162,0.82605,0.61144,1.24421,1.43423,0.99556,0.004852,0.004852,0.004852
54,20405.7,0.90425,0.49099,0.88447,0.86446,0.72828,0.82668,0.61204,1.24877,1.4429,0.99693,0.004753,0.004753,0.004753
55,20780.6,0.89764,0.48934,0.88245,0.85446,0.73064,0.82367,0.61096,1.25213,1.46231,0.99785,0.004654,0.004654,0.004654
56,21157.4,0.89757,0.48521,0.87984,0.88871,0.69931,0.82043,0.60905,1.2539,1.49105,0.99774,0.004555,0.004555,0.004555
57,21532.3,0.89183,0.48346,0.87915,0.84593,0.72708,0.82048,0.60971,1.25371,1.50113,0.99658,0.004456,0.004456,0.004456
58,21907.9,0.8877,0.48002,0.87743,0.85279,0.71969,0.81739,0.60735,1.25348,1.5215,0.99617,0.004357,0.004357,0.004357
59,22285.6,0.8912,0.48103,0.88083,0.87457,0.70581,0.8186,0.60748,1.2521,1.51888,0.99567,0.004258,0.004258,0.004258
60,22668.5,0.8834,0.47803,0.87778,0.88989,0.69631,0.81717,0.608,1.25294,1.51954,0.99551,0.004159,0.004159,0.004159
61,23054.6,0.87851,0.47606,0.87636,0.87832,0.69923,0.81623,0.60788,1.2532,1.52631,0.99498,0.00406,0.00406,0.00406
62,23435.4,0.87353,0.47354,0.87569,0.86391,0.70574,0.81572,0.60716,1.25527,1.5292,0.99534,0.003961,0.003961,0.003961
63,23818.7,0.87049,0.46918,0.87545,0.84788,0.71402,0.81375,0.60625,1.25672,1.52981,0.9951,0.003862,0.003862,0.003862
64,24202.8,0.86733,0.46602,0.87501,0.84139,0.71676,0.81426,0.6058,1.25446,1.53654,0.99419,0.003763,0.003763,0.003763
65,24582.3,0.86678,0.46961,0.87569,0.83247,0.72253,0.81464,0.60665,1.25417,1.53495,0.99395,0.003664,0.003664,0.003664
66,24964.3,0.857,0.46311,0.87065,0.83948,0.71613,0.81441,0.60581,1.25325,1.53521,0.99379,0.003565,0.003565,0.003565
67,25345.5,0.85551,0.4602,0.8713,0.83759,0.71704,0.81394,0.60621,1.2536,1.53931,0.9936,0.003466,0.003466,0.003466
68,25727.4,0.85053,0.45755,0.8699,0.82985,0.72063,0.81336,0.60579,1.25373,1.54178,0.99375,0.003367,0.003367,0.003367
69,26109.6,0.84393,0.45217,0.86956,0.82726,0.71994,0.81325,0.60535,1.25421,1.53973,0.99403,0.003268,0.003268,0.003268
70,26488.6,0.84622,0.4541,0.86938,0.83255,0.71863,0.81284,0.60521,1.25475,1.54118,0.99395,0.003169,0.003169,0.003169
71,26866,0.84481,0.45264,0.87055,0.83682,0.71564,0.81275,0.60493,1.25467,1.54541,0.99389,0.00307,0.00307,0.00307
72,27248.4,0.83691,0.44722,0.86635,0.83352,0.71404,0.81151,0.60463,1.25441,1.55036,0.99387,0.002971,0.002971,0.002971
73,27629.5,0.83201,0.44714,0.86679,0.82662,0.71957,0.81151,0.60394,1.25653,1.55419,0.99416,0.002872,0.002872,0.002872
74,28009.3,0.82782,0.4404,0.86531,0.82372,0.72322,0.81132,0.60502,1.25684,1.55564,0.99408,0.002773,0.002773,0.002773
75,28387.9,0.82651,0.44029,0.8655,0.82381,0.72482,0.81176,0.60532,1.25595,1.55628,0.99379,0.002674,0.002674,0.002674
76,28769.3,0.82012,0.44026,0.8644,0.82208,0.72467,0.81134,0.6051,1.25667,1.55944,0.99381,0.002575,0.002575,0.002575
